# z (m)           wake (V/pC)     z (m)          wake-log-term (V/pC)
3.210000e-03    2.057355e+00    3.210000e-03    2.260573e+00
3.220000e-03    2.037352e+00    3.220000e-03    2.225651e+00
3.230000e-03    2.016961e+00    3.230000e-03    2.191489e+00
3.240000e-03    1.996570e+00    3.240000e-03    2.158084e+00
3.250000e-03    1.976179e+00    3.250000e-03    2.125681e+00
3.260000e-03    1.956177e+00    3.260000e-03    2.094279e+00
3.270000e-03    1.936019e+00    3.270000e-03    2.063696e+00
3.280000e-03    1.916404e+00    3.280000e-03    2.034297e+00
3.290000e-03    1.897276e+00    3.290000e-03    2.006081e+00
3.300000e-03    1.878613e+00    3.300000e-03    1.978957e+00
3.310000e-03    1.860475e+00    3.310000e-03    1.952955e+00
3.320000e-03    1.843016e+00    3.320000e-03    1.928228e+00
3.330000e-03    1.826218e+00    3.330000e-03    1.904654e+00
3.340000e-03    1.810080e+00    3.340000e-03    1.882263e+00
3.350000e-03    1.794680e+00    3.350000e-03    1.861025e+00
3.360000e-03    1.780037e+00    3.360000e-03    1.841001e+00
3.370000e-03    1.766132e+00    3.370000e-03    1.822099e+00
3.380000e-03    1.752946e+00    3.380000e-03    1.804320e+00
3.390000e-03    1.740556e+00    3.390000e-03    1.787693e+00
3.400000e-03    1.728904e+00    3.400000e-03    1.772099e+00
3.410000e-03    1.718010e+00    3.410000e-03    1.757566e+00
3.420000e-03    1.707814e+00    3.420000e-03    1.744034e+00
3.430000e-03    1.698337e+00    3.430000e-03    1.731473e+00
3.440000e-03    1.689521e+00    3.440000e-03    1.719823e+00
3.450000e-03    1.681345e+00    3.450000e-03    1.709052e+00
3.460000e-03    1.673829e+00    3.460000e-03    1.699101e+00
3.470000e-03    1.666877e+00    3.470000e-03    1.689968e+00
3.480000e-03    1.660468e+00    3.480000e-03    1.681534e+00
3.490000e-03    1.654603e+00    3.490000e-03    1.673797e+00
3.500000e-03    1.649244e+00    3.500000e-03    1.666728e+00
3.510000e-03    1.644311e+00    3.510000e-03    1.660235e+00
3.520000e-03    1.639825e+00    3.520000e-03    1.654319e+00
3.530000e-03    1.635708e+00    3.530000e-03    1.648888e+00
3.540000e-03    1.631940e+00    3.540000e-03    1.643912e+00
3.550000e-03    1.628484e+00    3.550000e-03    1.639361e+00
3.560000e-03    1.625318e+00    3.560000e-03    1.635205e+00
3.570000e-03    1.622405e+00    3.570000e-03    1.631382e+00
3.580000e-03    1.619725e+00    3.580000e-03    1.627862e+00
3.590000e-03    1.617220e+00    3.590000e-03    1.624586e+00
3.600000e-03    1.614792e+00    3.600000e-03    1.621461e+00
3.610000e-03    1.612695e+00    3.610000e-03    1.618730e+00
3.620000e-03    1.610598e+00    3.620000e-03    1.616060e+00
3.630000e-03    1.608597e+00    3.630000e-03    1.613542e+00
3.640000e-03    1.606694e+00    3.640000e-03    1.611175e+00
3.650000e-03    1.604849e+00    3.650000e-03    1.608900e+00
3.660000e-03    1.603043e+00    3.660000e-03    1.606685e+00
3.670000e-03    1.601218e+00    3.670000e-03    1.604531e+00
3.680000e-03    1.599451e+00    3.680000e-03    1.602407e+00
3.690000e-03    1.597664e+00    3.690000e-03    1.600344e+00
3.700000e-03    1.595877e+00    3.700000e-03    1.598281e+00
3.710000e-03    1.594071e+00    3.710000e-03    1.596248e+00
3.720000e-03    1.592226e+00    3.720000e-03    1.594215e+00
3.730000e-03    1.590381e+00    3.730000e-03    1.592152e+00
3.740000e-03    1.588498e+00    3.740000e-03    1.590089e+00
3.750000e-03    1.586556e+00    3.750000e-03    1.587996e+00
3.760000e-03    1.584614e+00    3.760000e-03    1.585902e+00
3.770000e-03    1.582613e+00    3.770000e-03    1.583778e+00
3.780000e-03    1.580594e+00    3.780000e-03    1.581655e+00
3.790000e-03    1.578535e+00    3.790000e-03    1.579500e+00
3.800000e-03    1.576457e+00    3.800000e-03    1.577316e+00
3.810000e-03    1.574341e+00    3.810000e-03    1.575131e+00
3.820000e-03    1.572224e+00    3.820000e-03    1.572917e+00
3.830000e-03    1.570068e+00    3.830000e-03    1.570702e+00
3.840000e-03    1.567893e+00    3.840000e-03    1.568457e+00
3.850000e-03    1.565718e+00    3.850000e-03    1.566242e+00
3.860000e-03    1.563543e+00    3.860000e-03    1.563997e+00
3.870000e-03    1.561368e+00    3.870000e-03    1.561782e+00
3.880000e-03    1.559212e+00    3.880000e-03    1.559567e+00
3.890000e-03    1.557037e+00    3.890000e-03    1.557383e+00
3.900000e-03    1.554901e+00    3.900000e-03    1.555198e+00
3.910000e-03    1.552784e+00    3.910000e-03    1.553044e+00
3.920000e-03    1.550668e+00    3.920000e-03    1.550920e+00
3.930000e-03    1.548590e+00    3.930000e-03    1.548827e+00
3.940000e-03    1.546570e+00    3.940000e-03    1.546764e+00
3.950000e-03    1.544550e+00    3.950000e-03    1.544761e+00
3.960000e-03    1.542608e+00    3.960000e-03    1.542789e+00
3.970000e-03    1.540705e+00    3.970000e-03    1.540878e+00
3.980000e-03    1.538841e+00    3.980000e-03    1.538996e+00
3.990000e-03    1.537035e+00    3.990000e-03    1.537176e+00
4.000000e-03    1.535229e+00    4.000000e-03    1.535295e+00
4.010000e-03    1.533559e+00    4.010000e-03    1.533626e+00
4.020000e-03    1.531947e+00    4.020000e-03    1.531988e+00
4.030000e-03    1.530354e+00    4.030000e-03    1.530410e+00
4.040000e-03    1.528840e+00    4.040000e-03    1.528893e+00
4.050000e-03    1.527364e+00    4.050000e-03    1.527437e+00
4.060000e-03    1.525946e+00    4.060000e-03    1.526011e+00
4.070000e-03    1.524645e+00    4.070000e-03    1.524706e+00
4.080000e-03    1.523363e+00    4.080000e-03    1.523432e+00
4.090000e-03    1.522178e+00    4.090000e-03    1.522218e+00
4.100000e-03    1.521033e+00    4.100000e-03    1.521096e+00
4.110000e-03    1.519945e+00    4.110000e-03    1.520004e+00
4.120000e-03    1.518935e+00    4.120000e-03    1.519002e+00
4.130000e-03    1.517984e+00    4.130000e-03    1.518032e+00
4.140000e-03    1.517071e+00    4.140000e-03    1.517121e+00
