# z (m)           wake (V/pC)     z (m)          wake-log-term (V/pC)
3.880000e-03    1.551368e+00    3.880000e-03    1.551293e+00
3.890000e-03    1.549164e+00    3.890000e-03    1.549146e+00
3.900000e-03    1.547077e+00    3.900000e-03    1.547077e+00
3.910000e-03    1.545066e+00    3.910000e-03    1.545086e+00
3.920000e-03    1.543191e+00    3.920000e-03    1.543251e+00
3.930000e-03    1.541355e+00    3.930000e-03    1.541416e+00
3.940000e-03    1.539499e+00    3.940000e-03    1.539620e+00
3.950000e-03    1.537624e+00    3.950000e-03    1.537747e+00
3.960000e-03    1.535826e+00    3.960000e-03    1.535951e+00
3.970000e-03    1.534106e+00    3.970000e-03    1.534233e+00
3.980000e-03    1.532328e+00    3.980000e-03    1.532476e+00
3.990000e-03    1.530569e+00    3.990000e-03    1.530758e+00
4.000000e-03    1.529177e+00    4.000000e-03    1.529431e+00
4.010000e-03    1.527882e+00    4.010000e-03    1.528143e+00
4.020000e-03    1.526471e+00    4.020000e-03    1.526698e+00
4.030000e-03    1.525060e+00    4.030000e-03    1.525293e+00
4.040000e-03    1.523726e+00    4.040000e-03    1.523965e+00
4.050000e-03    1.522469e+00    4.050000e-03    1.522716e+00
4.060000e-03    1.521213e+00    4.060000e-03    1.521467e+00
4.070000e-03    1.519918e+00    4.070000e-03    1.520179e+00
4.080000e-03    1.518700e+00    4.080000e-03    1.518968e+00
4.090000e-03    1.517579e+00    4.090000e-03    1.517836e+00
4.100000e-03    1.516748e+00    4.100000e-03    1.516977e+00
