# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
3.5400000e+03    1.4277413e+07    5.1778221e+07
3.5500000e+03    1.4279727e+07    5.1753522e+07
3.5600000e+03    1.4282042e+07    5.1728822e+07
3.5700000e+03    1.4284356e+07    5.1704123e+07
3.5800000e+03    1.4286671e+07    5.1679424e+07
3.5900000e+03    1.4288985e+07    5.1654725e+07
3.6000000e+03    1.4291300e+07    5.1630026e+07
3.6100000e+03    1.4293614e+07    5.1605326e+07
3.6200000e+03    1.4295929e+07    5.1580627e+07
3.6300000e+03    1.4298243e+07    5.1555928e+07
3.6400000e+03    1.4300558e+07    5.1531229e+07
3.6500000e+03    1.4302872e+07    5.1506530e+07
3.6600000e+03    1.4305187e+07    5.1481830e+07
3.6700000e+03    1.4307501e+07    5.1457131e+07
3.6800000e+03    1.4309816e+07    5.1432432e+07
3.6900000e+03    1.4312130e+07    5.1407733e+07
3.7000000e+03    1.4314445e+07    5.1383034e+07
3.7100000e+03    1.4316759e+07    5.1358334e+07
3.7200000e+03    1.4319074e+07    5.1333635e+07
3.7300000e+03    1.4321388e+07    5.1308936e+07
3.7400000e+03    1.4323703e+07    5.1284237e+07
3.7500000e+03    1.4326017e+07    5.1259538e+07
3.7600000e+03    1.4328332e+07    5.1234838e+07
3.7700000e+03    1.4330646e+07    5.1210139e+07
3.7800000e+03    1.4332961e+07    5.1185440e+07
3.7900000e+03    1.4335275e+07    5.1160741e+07
3.8000000e+03    1.4337590e+07    5.1136042e+07
3.8100000e+03    1.4339904e+07    5.1111342e+07
3.8200000e+03    1.4342219e+07    5.1086643e+07
3.8300000e+03    1.4344533e+07    5.1061944e+07
3.8400000e+03    1.4346848e+07    5.1037245e+07
3.8500000e+03    1.4349162e+07    5.1012546e+07
3.8600000e+03    1.4351477e+07    5.0987846e+07
3.8700000e+03    1.4353792e+07    5.0963147e+07
3.8800000e+03    1.4356106e+07    5.0938448e+07
3.8900000e+03    1.4358421e+07    5.0913749e+07
3.9000000e+03    1.4360735e+07    5.0889050e+07
3.9100000e+03    1.4363050e+07    5.0864350e+07
3.9200000e+03    1.4365364e+07    5.0839651e+07
3.9300000e+03    1.4367679e+07    5.0814952e+07
3.9400000e+03    1.4369993e+07    5.0790253e+07
3.9500000e+03    1.4372308e+07    5.0765554e+07
3.9600000e+03    1.4374622e+07    5.0740854e+07
3.9700000e+03    1.4376937e+07    5.0716155e+07
3.9800000e+03    1.4379251e+07    5.0691456e+07
3.9900000e+03    1.4381566e+07    5.0666757e+07
4.0000000e+03    1.4383880e+07    5.0642058e+07
4.0100000e+03    1.4386195e+07    5.0617358e+07
4.0200000e+03    1.4388509e+07    5.0592659e+07
4.0300000e+03    1.4390824e+07    5.0567960e+07
