# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
4.9300000e+03    2.8710905e+06    4.0238407e+06
4.9400000e+03    2.8695864e+06    4.0211131e+06
4.9500000e+03    2.8680823e+06    4.0183855e+06
4.9600000e+03    2.8665782e+06    4.0156580e+06
4.9700000e+03    2.8650741e+06    4.0129304e+06
4.9800000e+03    2.8635701e+06    4.0102028e+06
4.9900000e+03    2.8620660e+06    4.0074753e+06
5.0000000e+03    2.8605619e+06    4.0047477e+06
5.0100000e+03    2.8590578e+06    4.0020201e+06
5.0200000e+03    2.8575537e+06    3.9992926e+06
5.0300000e+03    2.8560496e+06    3.9965650e+06
5.0400000e+03    2.8545456e+06    3.9938375e+06
5.0500000e+03    2.8530415e+06    3.9911099e+06
5.0600000e+03    2.8515374e+06    3.9883823e+06
5.0700000e+03    2.8500333e+06    3.9856548e+06
